,subject,verb,object,description,node_labels,url,word_vec
0,oh bah mə,be,american politician,,['Thing'],,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
1,oh bah mə,be,44th president,[],[],[],"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
2,oh bah mə,be,united states,"The United States of America, commonly known as the United States or America, is a country primarily located in North America. It consists of 50 states, a federal district, five major self-governing territories, 326 Indian reservations, and some minor possessions. ","['AdministrativeArea', 'Country', 'Thing', 'Place']",https://en.wikipedia.org/wiki/United_States,"[-6.97787479e-02  2.16441602e-01 -1.89097300e-02 -1.58062845e-01
  2.03462362e-01  6.53590113e-02 -1.49692632e-02 -4.44695093e-02
 -7.96422213e-02  2.21092200e+00 -2.32021213e-01  2.03062557e-02
  7.17692450e-02 -8.07594061e-02 -1.13085769e-01 -1.03064954e-01
 -3.15970033e-02  1.26492548e+00 -8.01357254e-02 -2.43691746e-02
 -2.46036500e-02  3.78474742e-02 -4.79236767e-02 -4.15193252e-02
  1.48133589e-02 -6.54912442e-02 -8.30987692e-02 -2.51448322e-02
  3.68478931e-02  6.16394170e-02  1.43886924e-01  8.13970044e-02
  1.68264415e-02  6.02197014e-02  3.50004733e-02 -7.22696930e-02
 -6.95310086e-02  2.06197426e-02 -1.04262836e-01  3.10974754e-02
 -1.05739543e-02  8.07304382e-02  9.70673412e-02 -9.16775912e-02
  1.92450024e-02  5.98514872e-03 -2.23924629e-02 -5.01350798e-02
  4.75838073e-02 -4.03077379e-02 -5.13253696e-02  1.63038135e-01
 -6.27580583e-02 -4.22940515e-02 -3.48999687e-02 -7.72837084e-03
  1.11699566e-01 -5.12261018e-02  6.25855699e-02 -3.72972973e-02
  3.32000777e-02  4.94934991e-02  1.00523140e-03  3.07987034e-01
 -3.49610448e-02 -1.51889965e-01  2.51959562e-02  1.26524612e-01
 -8.65628496e-02  1.04854643e-01 -7.36676827e-02  7.52239525e-02
  7.68950880e-02 -4.38649468e-02  6.32723272e-02  8.66801571e-03
 -3.23984958e-02  1.60323419e-02  1.07980840e-01  2.03445315e-01
 -5.10573760e-02  8.23430046e-02 -3.55200246e-02  1.43278595e-02
  8.34018737e-02 -3.68656725e-01  3.42148133e-02  8.22710469e-02
  1.89479023e-01 -9.62320715e-04 -4.03792877e-03  1.08013423e-02
  5.44937290e-02 -6.76816925e-02  2.42596015e-01 -7.38262460e-02
 -5.28463796e-02  3.05139087e-03 -1.38756037e-01 -7.79429674e-02
 -1.52939390e-02  6.45297617e-02 -1.98548660e-01  9.76659432e-02
  2.15573572e-02 -5.88015199e-01 -4.44500446e-02 -1.30045786e-02
  7.82013461e-02  2.09887065e-02 -7.72872008e-04 -2.67487541e-02
 -8.08927342e-02 -1.86161131e-01 -9.74095911e-02 -6.67018518e-02
  1.29122660e-01 -3.90746631e-02 -1.72196671e-01 -1.01565614e-01
 -1.42456368e-02  9.34012234e-02  6.56970292e-02 -3.71086895e-02
 -9.91598815e-02  1.73669279e-01  1.49516866e-01 -2.21951157e-02
  1.04548410e-01 -5.63772172e-02  4.35017683e-02 -1.22036010e-01
 -4.74927574e-02 -6.72021583e-02  5.56403659e-02  2.69041210e-02
 -2.72109024e-02 -1.55969754e-01  3.94448042e-02  3.66510712e-02
 -6.32399380e-01  1.25180170e-01  1.92241445e-01 -2.86400095e-02
 -1.22807771e-02  1.68818206e-01  1.27270609e-01 -3.62900011e-02
  2.88104676e-02 -4.00753096e-02 -4.24379371e-02 -2.91053131e-02
  1.86169252e-01  6.01302199e-02 -7.07203299e-02  8.29756930e-02
 -5.16881272e-02 -1.49908662e-03 -1.01250470e-01  9.06150192e-02
  1.08023234e-01  4.08771448e-02  5.02762012e-02 -1.12109818e-03
 -1.25883996e-01 -1.16440266e-01  4.93033677e-02 -3.96366557e-03
  1.21309765e-01 -1.54390698e-02  8.45021904e-02  3.18461694e-02
 -1.32561117e-01  6.74831569e-02 -1.35741934e-01  2.71808412e-02
 -8.55000094e-02 -3.98142748e-02  1.70318894e-02 -1.56850666e-01
  7.31994137e-02 -1.78353563e-02 -1.17547125e-01 -1.33772343e-01
  3.60826477e-02 -4.18182537e-02 -2.43780892e-02  1.48291811e-02
  6.23252839e-02  3.43385302e-02 -1.21177016e-02  1.46651706e-02
 -5.92880137e-03 -2.06895880e-02 -6.74449578e-02 -1.12320641e-02
 -3.08651160e-02 -9.31388512e-02 -8.32124799e-02  1.19052753e-01
 -1.51981171e-02 -3.26865613e-02 -5.74192144e-02  6.28911182e-02
  2.40562871e-01 -5.60575053e-02  9.23158228e-02 -8.06436837e-02
  6.40571490e-02 -1.09599961e-03 -7.04919472e-02  2.10689250e-02
  8.70710053e-03 -1.57388523e-02  5.17356135e-02  8.72472599e-02
 -1.05945468e-01  1.07788801e-01 -7.18649626e-02  6.27305657e-02
  2.27598995e-02  5.51720932e-02  1.96039584e-02 -3.59737165e-02
  1.07920887e-02  4.39231358e-02  4.14784141e-02  1.56483158e-01
  4.61497419e-02  1.28288075e-01 -9.20779556e-02  4.35828939e-02
  1.13056727e-01  1.06714778e-01 -1.62322938e-01 -7.27610141e-02
  1.07709922e-01 -7.10333586e-02  1.62368584e-02  7.34864622e-02
  1.56916380e-02  5.81100658e-02  8.91648903e-02  1.56288110e-02
  1.20435439e-01 -4.40854877e-02 -3.92164662e-02 -1.16687156e-01
 -1.26425579e-01 -1.14430897e-01  1.76453516e-01  2.04320513e-02
  1.06499471e-01  2.60929856e-02  2.13652439e-02  1.99606240e-01
  1.07000485e-01 -6.07535280e-02 -4.28531468e-02  1.00399241e-01
  1.55891955e-01  1.54001452e-02 -6.42983019e-02  1.79891184e-01
 -3.74481678e-02 -1.43625855e-01 -3.69940558e-03 -1.43877476e-01
  1.53720066e-01 -2.84541529e-02 -9.83666256e-02 -9.60817039e-02
 -9.33757126e-02 -9.76789370e-02 -5.27206659e-02 -4.70272824e-02
 -3.43344398e-02  9.58506688e-02  1.66073740e-02  3.72944996e-02
  2.95775354e-01 -1.41378855e-02  9.25806537e-02 -6.13990463e-02
 -2.35693958e-02  4.29277904e-02  6.25355840e-02 -1.66506529e-01
  2.08229765e-01 -8.61060172e-02 -1.94295406e-01  3.00661791e-02
 -1.11984476e-01 -2.63494086e-02 -1.31947950e-01  9.53829437e-02
  6.48161070e-03 -1.50960550e-01 -1.54243857e-01 -8.80325586e-03]"
3,oh bah mə,be,democratic party,"The Democratic Party is one of the two major contemporary political parties in the United States, along with its main historic rival, the Republican Party. ","['Thing', 'Organization']",https://en.wikipedia.org/wiki/Democratic_Party_(United_States),"[ 3.24623212e-02  1.27746895e-01 -1.91564616e-02 -9.15665627e-02
  1.82791576e-01  7.68740335e-03 -7.42789656e-02 -6.82540983e-02
  2.41498109e-02  2.42810464e+00 -2.16614932e-01 -1.08027626e-02
  1.09223686e-01 -6.40045181e-02 -6.96738437e-02 -8.96529183e-02
 -2.56108474e-02  1.12426364e+00 -1.89380780e-01 -3.30739357e-02
 -5.95720783e-02 -2.24195365e-02 -2.09636986e-02 -3.41162458e-02
  1.13283172e-01 -2.13672612e-02 -6.06518425e-02  4.22309004e-02
 -2.10715961e-02  6.26310781e-02  1.55406401e-01  1.56128883e-01
 -5.94995357e-02  1.06112719e-01  7.86287934e-02 -1.18293084e-01
 -4.28934991e-02 -4.58712913e-02 -7.03398660e-02 -4.85245250e-02
  2.16178112e-02  1.50072426e-01 -2.41090246e-02 -8.51424932e-02
  2.34550722e-02  1.00151844e-01 -7.92750344e-02 -8.01488981e-02
 -9.69214644e-03 -7.90934414e-02  5.63978925e-02  1.71848103e-01
 -8.25114921e-02 -8.11754819e-03 -5.83685227e-02  4.52778935e-02
  4.52336408e-02 -5.65762911e-03  4.08255719e-02 -4.25319150e-02
  1.31310718e-02  1.24055602e-01 -6.13453723e-02  2.33001187e-01
 -7.36771449e-02 -3.57175097e-02 -3.94335762e-02  8.82200375e-02
 -4.26708534e-02  1.08378753e-01 -4.05644663e-02  9.46836248e-02
  1.15973845e-01  3.19200568e-02 -1.36346444e-02 -4.41362076e-02
 -6.13262057e-02  2.58099986e-03 -4.24108841e-02  1.58063173e-01
 -1.10544972e-01  5.50321266e-02 -4.19349875e-03 -2.72312053e-02
 -2.67977063e-02 -2.67343253e-01 -1.74519762e-01  2.31488217e-02
  1.82254791e-01  2.16589775e-02 -5.95025159e-02  7.51356483e-02
  4.00535800e-02  1.09266512e-01  1.72960073e-01 -7.95637965e-02
 -7.12789297e-02  7.87077378e-03 -9.88299474e-02 -1.09775387e-01
  1.08278831e-02  3.52602825e-02 -1.61441877e-01 -6.10772707e-02
  3.91372181e-02 -6.05765760e-01  3.83023955e-02  8.20762739e-02
  1.24499463e-01  8.71403702e-03 -6.96401447e-02 -7.95613378e-02
 -5.99409603e-02 -8.53874758e-02 -4.30919342e-02 -5.67306653e-02
 -1.74010172e-02  2.78088152e-02 -1.02822073e-01 -1.09463498e-01
 -9.06281825e-03  2.67533474e-02  6.34377822e-02  1.14969127e-01
 -1.15761094e-01  1.21855617e-01  5.04862033e-02 -8.54306072e-02
  3.64600047e-02 -2.46819984e-02 -9.59061161e-02 -1.14574350e-01
 -8.90884921e-02 -9.27399844e-02  6.25361577e-02  7.56777674e-02
 -1.29819391e-02 -2.79070232e-02  1.17382683e-01 -7.96339139e-02
 -8.79255354e-01  1.18595019e-01  1.53876781e-01 -6.64061308e-03
  8.00850019e-02  4.06339467e-02 -1.84820165e-04 -5.77204861e-02
  4.82679866e-02  2.74559967e-02 -1.23699389e-01 -4.16627191e-02
  1.66880384e-01  6.31366149e-02 -5.45407794e-02  9.90622044e-02
 -7.60251880e-02  3.60327475e-02 -1.20338418e-01  1.87779348e-02
 -6.45268708e-02  1.53387278e-01  6.79806899e-03  1.02271717e-02
 -8.86865035e-02 -1.76646575e-01  6.38845712e-02 -7.60307908e-03
  2.15280294e-01  2.68698093e-02  8.60085711e-02  4.27926444e-02
 -4.88954596e-02  1.23028912e-01 -1.56333879e-01  6.46566926e-03
 -9.81873795e-02 -3.74158882e-02  8.79502371e-02 -1.38125703e-01
  6.15398400e-02 -9.24528688e-02 -8.87734666e-02 -1.92639336e-01
  2.20536478e-02  3.36800143e-02  3.27867940e-02 -1.14862919e-01
 -1.32411188e-02  6.71732565e-03 -6.65539354e-02  7.49515020e-04
  2.11122595e-02  9.68744829e-02  3.51617858e-02  8.88143405e-02
 -1.09793611e-01  2.46770470e-03 -1.78677946e-01  1.72174424e-01
 -8.11539143e-02  1.35252578e-02 -8.55194107e-02  2.16654805e-03
  2.99097061e-01  1.44079057e-02  2.26871353e-02 -1.10160243e-02
 -5.78274988e-02 -6.62310496e-02 -2.16905713e-01  7.12005869e-02
 -4.72886600e-02 -1.15947306e-01  2.87017114e-02  1.64784953e-01
 -1.30202323e-01  1.92964226e-02 -5.70144244e-02  8.90962556e-02
 -1.85432229e-02  1.74140204e-02 -2.87166541e-03  4.89595346e-02
  3.98359299e-02 -3.77461426e-02  4.99746613e-02  1.27126485e-01
  6.64053038e-02  6.86684847e-02 -1.04795218e-01  9.42237750e-02
  6.36869222e-02  1.20443858e-01 -1.84763461e-01 -8.43300223e-02
 -3.95065770e-02 -2.00934131e-02 -2.92196106e-02  1.18331596e-01
 -8.51743761e-03  1.12891734e-01  3.53604555e-02  6.19445518e-02
  8.81903321e-02 -4.91592400e-02  1.36070875e-02 -1.26133174e-01
 -1.19455971e-01 -7.71217719e-02  8.65235105e-02  7.06431270e-02
  7.84987956e-02 -6.36029467e-02 -4.09395155e-03  3.01081926e-01
  1.56322330e-01 -3.68011519e-02 -9.30420980e-02  1.10833999e-02
  1.22031175e-01  9.93467346e-02 -1.11667737e-01  1.54782772e-01
 -1.57244410e-02 -1.58656493e-01  1.65172876e-03 -1.13964893e-01
  3.10193807e-01 -1.31113276e-01 -6.64302334e-02 -1.62905995e-02
 -1.61468938e-01 -1.64124280e-01 -3.44458036e-02  4.29189717e-03
  3.27997431e-02  1.82414562e-01  6.38501272e-02  1.03588216e-01
  3.15005779e-01 -5.02356328e-02 -2.44266004e-03 -3.34563628e-02
 -4.62793298e-02  1.81588773e-02  1.05915427e-01 -8.17712173e-02
  2.36847430e-01 -7.42376521e-02 -2.01347128e-01  5.16670272e-02
 -4.93587647e-03 -5.18423654e-02 -1.38616487e-01  5.11738546e-02
  2.77593564e-02 -1.02339305e-01 -1.55753449e-01  4.45916466e-02]"
4,oh bah mə,be,african american president,"The National Museum of African American History and Culture is a Smithsonian Institution museum located on the National Mall in Washington, D.C., in the United States. ","['Museum', 'Thing', 'TouristAttraction', 'CivicStructure', 'Place']",https://en.wikipedia.org/wiki/National_Museum_of_African_American_History_and_Culture,"[ 7.19821751e-02  1.66142568e-01  8.22253972e-02 -1.42717645e-01
  2.92142868e-01  9.60733276e-03 -4.43676971e-02  1.67455226e-02
  4.04290040e-04  2.16532874e+00 -3.77592415e-01 -9.84679833e-02
  7.55365267e-02 -5.52294180e-02 -9.53219831e-02 -5.03944829e-02
  5.20264404e-03  1.20222712e+00 -9.61724967e-02 -4.54802811e-02
  2.23694816e-02  2.37747617e-02  3.87789123e-02 -4.30094115e-02
  1.51594847e-01 -6.71422258e-02 -1.07924074e-01  1.20344229e-01
 -1.01132959e-01  1.69734642e-01  9.26158354e-02  1.11880368e-02
  9.40391049e-02  7.72281289e-02  5.29894345e-02 -6.76008835e-02
 -3.77140678e-02  7.50828460e-02 -9.07488689e-02  7.13638738e-02
 -4.71501052e-03  1.77461445e-01 -2.18156632e-02 -1.13984561e-02
  1.13182254e-01  1.51112908e-02  1.99935064e-02 -1.02642447e-01
  5.28515242e-02 -1.54981285e-01 -6.84487633e-03  3.75906378e-02
 -8.93556848e-02 -1.09048590e-01  4.68017906e-02 -1.14252456e-02
  1.02129377e-01 -7.84410629e-03  9.61617455e-02 -5.35880961e-02
 -7.05195740e-02  2.67644487e-02 -5.32682724e-02  1.97703123e-01
 -3.27394791e-02 -1.12487234e-01 -4.05081399e-02  8.44734013e-02
  3.12502570e-02  1.20756045e-01 -9.66100693e-02  2.14381237e-02
  1.01272225e-01 -8.45120400e-02  1.55601755e-01  2.12361366e-02
 -9.61480439e-02  1.85636859e-02 -4.07998770e-04  2.24000394e-01
 -4.64987420e-02  1.64046526e-01  2.84034573e-02 -1.22395707e-02
 -2.75774896e-02 -2.68158734e-01 -5.29824421e-02  1.65221512e-01
  8.40582848e-02 -1.25051420e-02 -6.59106374e-02  3.34683359e-02
 -2.70264894e-02 -1.96865141e-01  2.39643708e-01 -7.00332671e-02
 -1.50430292e-01  3.43531780e-02 -4.11703847e-02 -1.14320122e-01
  2.97804847e-02 -1.37492083e-02 -1.59722507e-01  8.51463825e-02
  1.35691464e-01 -5.78030825e-01  4.77115400e-02  3.18006016e-02
  5.69835827e-02 -1.12624221e-01  2.84301378e-02  1.14754504e-02
  1.19581893e-02 -1.79487497e-01 -5.21766692e-02 -5.96939260e-03
  1.15958720e-01 -2.42622420e-02 -8.47170725e-02 -5.69202984e-03
 -3.88196856e-02  9.62146968e-02  2.53833104e-02 -3.58848162e-02
 -5.66525199e-02  9.60180387e-02  1.18801564e-01 -8.55720416e-03
  1.05215535e-01 -8.32631961e-02  8.14689770e-02 -2.18378931e-01
 -1.43878564e-01 -7.21716061e-02  1.95149556e-02 -6.47746772e-02
 -5.55917695e-02 -5.84722832e-02  2.34686993e-02 -7.31093958e-02
 -6.36618197e-01 -1.03018051e-02  2.19639853e-01 -1.08739205e-01
 -3.63050550e-02  8.72385651e-02  3.41469534e-02  5.83513975e-02
  5.24925143e-02 -4.35833931e-02 -6.24615289e-02 -8.62692147e-02
  9.18107331e-02  1.27992965e-02 -1.60978377e-01  3.82331535e-02
 -5.12440018e-02 -7.27306455e-02 -5.84563017e-02  8.06754977e-02
  1.45394191e-01  1.01410046e-01  1.26974583e-01  1.56444326e-01
 -5.94008714e-02 -1.12901010e-01 -1.11397402e-02  5.82675524e-02
  1.61835432e-01  4.98309880e-02  4.90693115e-02  8.28229077e-03
 -4.51042466e-02  1.59792125e-01 -1.02003545e-01  5.39258011e-02
 -5.89426346e-02  5.30284494e-02  9.10554901e-02 -1.27847776e-01
  8.49153548e-02  1.22440932e-02 -1.05914049e-01 -1.73475549e-01
  2.12107543e-02  6.93611801e-02  3.74136306e-02  1.99083984e-02
  3.21836770e-03 -7.66037628e-02 -9.70924348e-02  4.44383658e-02
 -1.06779570e-02  1.98582932e-02 -7.44139403e-02  2.24084213e-01
  5.69465682e-02 -1.15436949e-01 -5.24662733e-02  5.40628247e-02
 -1.54792406e-02 -3.22875045e-02 -9.36579332e-02  8.94413367e-02
  1.88443780e-01 -8.11373815e-02  1.97389349e-01  3.93592976e-02
 -1.48192830e-02 -1.51949152e-01 -8.91263187e-02  1.18898839e-01
 -4.22266498e-02 -5.83405420e-02 -3.05233262e-02  1.21009111e-01
 -8.33403766e-02  8.07177573e-02  2.03936547e-02  6.20156936e-02
 -3.81845795e-02 -7.84974452e-03 -3.71338949e-02 -1.15156382e-01
 -9.98320896e-03  1.02977594e-02  1.48722660e-02  1.29786432e-01
  2.13881686e-01  1.91986978e-01 -5.68827391e-02  1.53350130e-01
  1.12146705e-01 -1.51656270e-02 -2.32973635e-01 -7.37370625e-02
  2.16240855e-03 -5.96201569e-02  2.90940106e-02  1.62025839e-02
  4.43600863e-02 -1.22624924e-02  1.44046292e-01 -3.16490121e-02
  9.55499262e-02 -9.42113325e-02 -4.16272320e-02 -2.58487836e-02
 -1.52597651e-01 -3.64310324e-01  1.10366248e-01 -1.35889975e-03
  6.16727620e-02 -1.01586767e-01  4.79152165e-02  1.67802036e-01
  1.29820973e-01 -5.48820943e-02 -4.74072509e-02 -5.66476658e-02
  1.34809732e-01 -6.52569870e-04  9.88946203e-03  1.57269582e-01
 -5.81396893e-02 -1.82032079e-01 -1.42179318e-02 -1.24452829e-01
  1.84752718e-02  5.02294563e-02 -2.86056191e-01 -6.29911050e-02
 -7.44321719e-02 -4.58950251e-02  3.62286083e-02 -5.22404648e-02
  8.14110935e-02  6.25825375e-02 -3.97358537e-02  7.39516616e-02
  2.19212234e-01 -6.51110932e-02 -1.25361621e-01  5.19126467e-02
 -1.15475923e-01  9.31993276e-02  1.10935487e-01 -6.60958365e-02
  1.32695168e-01 -8.68661851e-02 -3.00212931e-02 -6.40017092e-02
 -2.30814721e-02 -5.73705584e-02 -2.66136266e-02  2.34139059e-02
  5.16354032e-02 -6.87688291e-02 -2.13343382e-01  1.80401891e-01]"
